CourseID,CourseName,Platform,Category,CategoryIndex,StartDate,Progress,EndDate, Duration ,BlogLink,CourseLink,Tags
UD-201,Intro to Inferential Statistics,Udacity,Foundational Theory,0,,1,,,,https://www.udacity.com/course/intro-to-inferential-statistics--ud201,
UD-827,Intro to Descriptive Statistics,Udacity,Foundational Theory,0,,1,,,,https://www.udacity.com/course/intro-to-descriptive-statistics--ud827,
MIT-18-06,Linear Algebra,MIT,Foundational Theory,0,10-Nov-16,0.222222222,20-Dec-16,,,http://ocw.mit.edu/courses/mathematics/18-06-linear-algebra-spring-2010/,
CS-algo,Algorithms Part 1,Coursera,Foundational Theory,0,21-Dec-16,,30-Jan-17,,,https://www.coursera.org/course/algo,
CS-algo2,Algorithms Part 2,Coursera,Foundational Theory,0,31-Jan-17,,12-Mar-17,,,https://www.coursera.org/course/algo2,
CS-modeling-discrete-optimization,Modeling Discrete Optimization,Coursera,Foundational Theory,0,15-Sep-16,1,9-Nov-16,,,https://www.coursera.org/learn/modeling-discrete-optimization,
CS-gametheory,Game Theory,Coursera,Foundational Theory,0,13-Mar-17,,22-Apr-17,,,https://www.coursera.org/course/gametheory,
CS-gametheory2,Game Theory II,Coursera,Foundational Theory,0,23-Apr-17,,2-Jun-17,,,https://www.coursera.org/course/gametheory2,
UD-cs313,Intro Theoretical Computer Science,Udacity,Foundational Theory,0,,,,,,https://www.udacity.com/course/intro-to-theoretical-computer-science--cs313,
UD-281,High Performance Computing,Udacity,Foundational Theory,0,,,,,,https://www.udacity.com/course/high-performance-computing--ud281,
CS-dsp,Digital Signal Processing,Coursera,Foundational Theory,0,3-Jun-17,,13-Jul-17,,,https://www.coursera.org/course/dsp,
CS-logic-introduction,Intro to Logic,Coursera,Foundational Theory,0,15-Apr-16,1,4-Jun-16,,,https://www.coursera.org/learn/logic-introduction,
UD-120,Into to Machine Learning,Udacity,Machine Learning,1,,,,,,https://www.udacity.com/course/intro-to-machine-learning--ud120,
UD-741,Unsupervised Learning,Udacity,Machine Learning,1,2-Nov-16,1,22-Dec-16,,,https://www.udacity.com/course/machine-learning-unsupervised-learning--ud741,
UD-675,Supervised Learning,Udacity,Machine Learning,1,15-Sep-16,1,1-Nov-16,,,https://www.udacity.com/course/machine-learning-supervised-learning--ud675,
UD-600,Reinforcement Learning,Udacity,Machine Learning,1,23-Dec-16,,11-Feb-17,,,https://www.udacity.com/course/reinforcement-learning--ud600,
CS-pgm,Probabilistic Graphical Models,Coursera,Machine Learning,1,12-Feb-17,,3-Apr-17,,,https://www.coursera.org/course/pgm,
CS-neuralnets,Neural Networks,Coursera,Machine Learning,1,,,,,,https://www.coursera.org/course/neuralnets,
CS-ml-recommenders,Recommenders & Dimensionality Reduction,Coursera,Machine Learning,1,25-May-17,,4-Jul-17,,,https://www.coursera.org/learn/ml-recommenders,
CS-ml-clustering-and-retrieval,Clustering & Retrieval,Coursera,Machine Learning,1,5-Jul-17,,14-Aug-17,,,https://www.coursera.org/learn/ml-clustering-and-retrieval,
CS-nlp,Natural Language Processing,Coursera,Machine Learning,1,15-Apr-16,1,4-Jun-16,,,https://www.coursera.org/course/nlp,
UD-810,Intro to Computer Vision,Udacity,Artificial Intelligence,2,12-Nov-16,1,27-Dec-16,,,https://www.udacity.com/course/introduction-to-computer-vision--ud810,
UD-cs271,Intro to Artificial Intelligence,Udacity,Artificial Intelligence,2,28-Dec-16,,11-Feb-17,,,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271,
CS-aiplan,Artificial Intelligence Planning,Coursera,Artificial Intelligence,2,15-Sep-16,1,11-Nov-16,,,https://www.coursera.org/course/aiplan,
UD-409,Knowledge Based Cognitive Systems,Udacity,Artificial Intelligence,2,12-Feb-17,,24-Mar-17,,,https://www.udacity.com/course/knowledge-based-ai-cognitive-systems--ud409,
UD-cs373,Artificial Intelligence for Robotics,Udacity,Artificial Intelligence,2,25-Mar-17,,19-May-17,,,https://www.udacity.com/course/artificial-intelligence-for-robotics--cs373,
CS-bioinformatics-methods-1,Bioinformatic Methods I,Coursera,Domain Knowledge,3,3-Feb-17,,15-Mar-17,,,https://www.coursera.org/learn/bioinformatics-methods-1,
CS-bioinformatics-methods-2,Bioinformatic Methods II,Coursera,Domain Knowledge,3,16-Mar-17,,25-Apr-17,,,https://www.coursera.org/learn/bioinformatics-methods-2,
CS-compneuro,Computational Neuroscience,Coursera,Domain Knowledge,3,26-Apr-17,,15-Jun-17,,,https://www.coursera.org/course/compneuro,
UD-170,Intro to Data Analysis,Udacity,Software Engineering,4,,1,,,,https://www.udacity.com/course/intro-to-data-analysis--ud170,
UD-032,Data Wrangling with MongoDB,Udacity,Software Engineering,4,,1,,,,https://www.udacity.com/course/data-wrangling-with-mongodb--ud032,
UD-651,Data Analysis with R,Udacity,Software Engineering,4,,1,,,,https://www.udacity.com/course/data-analysis-with-r--ud651,
UD-507,Data Visualization and D3.js,Udacity,Software Engineering,4,,1,,,,https://www.udacity.com/course/data-visualization-and-d3js--ud507,
UD-257,A/B Testing,Udacity,Software Engineering,4,,1,,,,https://www.udacity.com/course/ab-testing--ud257,
UD-cs258,Software Testing,Udacity,Software Engineering,4,16-Jan-17,,25-Feb-17,,,https://www.udacity.com/course/software-testing--cs258,
UD-cs259,Software Debugging,Udacity,Software Engineering,4,26-Feb-17,,6-Apr-17,,,https://www.udacity.com/course/software-debugging--cs259,
UD-245,Intro to jQuery,Udacity,Software Engineering,4,15-Jun-17,,15-Jul-17,,,https://www.udacity.com/course/intro-to-jquery--ud245,
UD-110,Intro to AJAX,Udacity,Software Engineering,4,16-Jul-17,,25-Aug-17,,,https://www.udacity.com/course/intro-to-ajax--ud110,
KG-state-farm-distracted-driver-detection,Distracted Driver Detection,Kaggle,Kaggle Competetion,5,24-Apr-16,1,3-Jun-16,,,https://www.kaggle.com/c/state-farm-distracted-driver-detection,
KG-bosch-production-line-performance,Bosch Defect Prediction,Kaggle,Kaggle Competetion,5,1-Aug-16,1,11-Nov-16,,,https://www.kaggle.com/c/bosch-production-line-performance,
